County,Lean,Elasticity,Democratic Avg,Republican Avg,Democratic Variance,Republican Variance,Covariance,Correlation,Flippability,Lean 2018,Lean 2014,Trump Effect,Trend,Presidential Turnout %,Midterm Turnout %,Total Voters,Ballots Cast,Yes on 73,No on 73,Abstain on 73,Yes % on 73,No % on 73,Abstain % on 73,Johnston Primary Votes,Johnston Primary %,Primary Ballots Cast,Polis Primary Votes,Polis Primary %,Kennedy Primary Votes,Kennedy Primary %,Primary Turnout %,Area,Voter Density,Primary Voter Density,Flippable
Larimer,0.01742806650403056,0.14347894800674793,0.49349873451376736,0.4760706680097367,0.005039283242218834,0.005492925434578383,-0.0047630741718921454,-0.9053179014258086,0.9155389752535351,0.06161622628109202,0.015820101051571833,0.04579612522952019,0.003796627731405167,0.7644272513936352,0.6587602394375685,265458.0,202923.32930045162,92642,83393,7066,0.5059611908181824,0.45544808602902226,0.03859072315279545,6577,0.14365594216193783,45783,28211,0.6161894152851495,8633,0.18856344057838062,0.4360359386565204,2595.786571079908,78.17411938302415,17.637428481245745,1
Las Animas,-0.018135728875514012,0.08360101655382231,0.4712315748651807,0.4893673037406945,0.0016801515070625772,0.002063110596816853,-0.0014831513330999246,-0.7966177677163596,0.6636765437365015,-0.03557752315141191,-0.03841508035544522,0.0028375572040333086,-0.021611690289163103,0.6759315507917723,0.575596529543898,10989.0,7427.811811650785,1974,4070,389,0.3068552774755169,0.6326752681486087,0.0604694543758744,440,0.2028584601198709,2169,990,0.45643153526970953,510,0.2351313969571231,0.6060018279097726,4772.961686692044,1.5562269926366652,0.4544348231513357,0
Chaffee,-0.03537951622511552,0.07523568248775607,0.46225143489792914,0.4976309511230444,0.0017543684656801672,0.0012800228750535214,-0.0011998001309444506,-0.8006443317099976,0.3276719748263018,0.031808601594664865,-0.05951594162462258,0.09132454321928744,0.013090182680010987,0.7821660344253331,0.6960446992159937,15516.0,12136.088190143468,4786,5774,591,0.4291991749618868,0.5178010940722805,0.05299973096583266,662,0.23277074542897327,2844,1169,0.4110407876230661,812,0.28551336146272854,0.5043737963713494,1013.4134314963642,11.9754562283863,2.8063571210030913,0
Garfield,-0.07734534607802551,0.061169585222686514,0.4397827125112362,0.5171280585892617,0.0012839334810481051,0.001114118340963921,-0.0006073207851462759,-0.5077865822416249,-0.10189865137399491,-0.01995101454331527,-0.12302559616214319,0.10307458161882792,0.008966977404647329,0.7366477943004068,0.6215991929959082,37537.0,27651.54825465437,11525,11873,1118,0.4701011584271496,0.4842959699787894,0.04560287159406102,1469,0.2724406528189911,5392,2083,0.38631305637982194,1421,0.26353857566765576,0.4613651379726143,2947.5554955379594,9.381179861248949,1.8293124618560928,0
Grand,-0.1177689900464007,0.059455918745308575,0.418362782730075,0.5361317727764755,0.001146441714237001,0.0009849262269590597,-0.000636356087181017,-0.5988559402094692,-0.2968358562285087,-0.05383289773498659,-0.16910174311492002,0.11526884537993343,0.011045702321226186,0.7132236089112978,0.6257725367771927,12189.0,8693.482569019809,3493,4051,364,0.441704602933738,0.5122660596863935,0.04602933737986849,262,0.16457286432160803,1592,918,0.5766331658291457,316,0.1984924623115578,0.4790968967107367,1846.4502869627363,4.7082137170992535,0.8621948888852639,0
Mineral,-0.12461354938419554,0.07187848505260411,0.4182757752205995,0.5428893246047951,0.0016462136985442855,0.001339081288662558,-0.0010045022029010475,-0.6765568835809479,-0.23896635114000442,-0.10501048178192698,-0.13602711474798365,0.031016632966056668,0.0013842135598452472,0.8095496759366188,0.7598307189656273,852.0,689.7363238979992,247,323,56,0.39456869009584666,0.5159744408945687,0.08945686900958466,84,0.34146341463414637,246,77,0.3130081300813008,57,0.23170731707317074,0.9501089652765958,875.764775208185,0.7875817153459233,0.2808973447710561,0
Rio Grande,-0.16928262200882102,0.07173661429692857,0.39821238348111654,0.5674950054899374,0.0017507826788928649,0.0010967315839143787,-0.001063544753476503,-0.7675195978886344,-0.3728715014403624,-0.17283733445857213,-0.20067087686330273,0.0278335424047306,-0.009135756974063311,0.7091290867643072,0.6010070711720534,8204.0,5817.695027814376,1649,3130,259,0.32731242556570067,0.6212782850337435,0.05140928940055577,252,0.2709677419354839,930,307,0.3301075268817204,282,0.3032258064516129,0.4833647561919593,911.9608826888353,6.379325186252968,1.0197805823183752,0
Otero,-0.18260983485183063,0.08122514407625094,0.3924942941994397,0.5751041290512705,0.0017817064593426135,0.0017429779558948977,-0.0014186068783742511,-0.8050039971435393,-0.35183367334243315,-0.1728091511709895,-0.23781899484147734,0.06500984367048784,-0.010577378240027904,0.7007396553725445,0.6107762075247325,12442.0,8718.602792145199,2322,4901,365,0.3060094886663152,0.6458882445967317,0.048102266736953087,331,0.20610211706102116,1606,720,0.44831880448318806,400,0.24906600249066002,0.5803703050075173,1262.13233511583,6.9078356916868495,1.2724497703742073,0
El Paso,-0.20810643478577698,0.20519802761698525,0.38015424447825696,0.588260679264034,0.009334584030985693,0.011803826685906904,-0.010035971287760515,-0.9560938249371774,-0.006112327106108417,-0.18030961062079076,-0.23810164442728468,0.05779203380649392,-0.014660065251689568,0.7014913674972608,0.567696357967098,474607.0,332932.7134537725,90017,181566,8338,0.321580017219144,0.64863300716988,0.029786975610975954,10085,0.21163854612608074,47652,18682,0.39205070091496685,15361,0.322357928313607,0.49034318274576394,2126.855266136893,156.53755041756733,22.404909614067233,0
Archuleta,-0.21900767966242066,0.05610151465685055,0.3715558090379747,0.5905634887003951,0.0008729011355628757,0.0010251669035592492,-0.0005663711400058502,-0.5987165973313243,-0.5914847572418721,-0.16363215292596145,-0.2535716688538765,0.08993951592791505,0.007750703775332867,0.6898798349172455,0.5946785427317058,11172.0,7707.337515695466,2811,3659,487,0.4040534713238465,0.5259450912749748,0.07000143740117867,266,0.23477493380406,1133,427,0.3768755516328332,299,0.263901147396293,0.5231558445338321,1350.1023333877317,5.708706166262154,0.8391956461233796,0
Weld,-0.22047927662915748,0.14550150138819887,0.3747036008521778,0.5951828774813352,0.005371990822051975,0.005417522041682166,-0.004919167958342685,-0.9118505758880222,-0.18050030064728864,-0.23974249569025088,-0.2465278861643712,0.006785390474120329,-0.016525659624226193,0.732324116096973,0.6047011636082922,196414.0,143838.70893907084,48209,73643,6559,0.37542733877938805,0.5734944825599053,0.05107817866070664,4068,0.2188273265196342,18590,8826,0.47477138246369016,4296,0.2310919849381388,0.4623699510080447,3986.0249446008256,36.08575233175701,4.663794195563336,0
Park,-0.22706553966002305,0.04382309607559576,0.36083550211168713,0.5879010417717103,0.0007024255958237025,0.0007983365227759442,-0.0001788755937570108,-0.23886797346412017,-0.7144481720643495,-0.2076267411357737,-0.25528744585635105,0.047660704720577346,-0.005790624013182969,0.7342825333362843,0.635617780283855,14978.0,10998.083784310867,3300,5989,365,0.3418272218769422,0.6203646157033355,0.037808162419722395,351,0.23275862068965517,1508,736,0.4880636604774536,286,0.1896551724137931,0.5023726007808345,2193.9134177410974,5.01299809526428,0.6873562045819797,0
Bent,-0.2309779329618913,0.08866310771515729,0.36497822265027574,0.5959561556121671,0.0020426300010397413,0.0021513417126791112,-0.001682411580501031,-0.8025695844733902,-0.41582754088493146,-0.27620144331695173,-0.23659745377993993,-0.0396039895370118,-0.026505780696929757,0.6877790695238442,0.606195286835328,3132.0,2154.1240457486797,566,1267,88,0.2946382092660073,0.659552316501822,0.045809474232170744,103,0.23732718894009217,434,139,0.32027649769585254,145,0.33410138248847926,0.7489125624231436,1512.872931424874,1.4238631685477074,0.2868714159564243,0
Hinsdale,-0.240716377706826,0.06130889657741095,0.3611202854065258,0.6018366631133519,0.001028049412978349,0.0011597376962972916,-0.0007183757594258489,-0.6579074248100933,-0.5939821396589827,-0.19718542902942596,-0.2671566757797237,0.06997124675029773,0.007497930564089988,0.8254831444347573,0.7405804648008664,778.0,642.2258863702413,214,336,39,0.3633276740237691,0.5704584040747029,0.06621392190152801,25,0.4032258064516129,62,22,0.3548387096774194,10,0.16129032258064516,0.37233065758927675,1117.236346597599,0.5748344012670715,0.055494077138479335,0
