1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
119,CO,Colorado,S,S4CO00429,,Don,Willoughby,"Willoughby, Don",,W,,,,,6,0.00%,,,,,,
120,CO,Colorado,S,n/a,,,,,Total State Votes:,,"609,883",,,,"2,743,029",,,,,,,
121,CO,Colorado,S,n/a,,,,,,,,,,,,,,,,,,
122,,,S,n/a,,,,,,,,,,,,,,,,,,
123,CT,Connecticut,S,S0CT00177,(I),Richard,Blumenthal,"Blumenthal, Richard",,D,*,,,,"920,766",57.68%,,,"1,008,714",63.19%,W,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic convention for the U.S. Senate was held on May 7, 2016, and the Republican convention was held on May 9, 2016.  An asterisk denotes the party’s endorsed candidate."
124,CT,Connecticut,S,S0CT00177,(I),Richard,Blumenthal,"Blumenthal, Richard",,WF,,,,,"87,948",5.51%,,,"1,008,714",63.19%,W,
125,CT,Connecticut,S,S6CT05108,,Dan,Carter,"Carter, Dan",,R,*,,,,"552,621",34.62%,,,,,,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic convention for the U.S. Senate was held on May 7, 2016, and the Republican convention was held on May 9, 2016.  An asterisk denotes the party’s endorsed candidate."
126,CT,Connecticut,S,S4CT00146,,Jack,Orchulli,"Orchulli, Jack",,R,,,,,,,,,,,,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic convention for the U.S. Senate was held on May 7, 2016, and the Republican convention was held on May 9, 2016.  An asterisk denotes the party’s endorsed candidate."
127,CT,Connecticut,S,S6CT05090,,August L.,Wolf,"Wolf, August L.",,R,,,,,,,,,,,,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic convention for the U.S. Senate was held on May 7, 2016, and the Republican convention was held on May 9, 2016.  An asterisk denotes the party’s endorsed candidate."
128,CT,Connecticut,S,S6CT05124,,Richard,Lion,"Lion, Richard",,LIB,,,,,"18,190",1.14%,,,,,,
129,CT,Connecticut,S,S0CT00250,,Jeffery,Russell,"Russell, Jeffery",,GRE,,,,,"16,713",1.05%,,,,,,
130,CT,Connecticut,S,n/a,,Andrew,Rule,"Rule, Andrew",,W,,,,,26,0.00%,,,,,,
131,CT,Connecticut,,n/a,,John M.,Traceski,"Traceski, John M.",,W,,,,,12,0.00%,,,,,,
132,CT,Connecticut,S,n/a,,,,,Total State Votes:,,,,,,"1,596,276",,,,,,,
133,,,S,n/a,,,,,,,,,,,,,,,,,,
134,FL,Florida,S,S0FL00338,(I),Marco,Rubio,"Rubio, Marco",,R,"1,029,830",71.99%,,,"4,835,191",51.98%,,,,,W,
135,FL,Florida,S,S6FL00426 ,,Carlos,Beruff,"Beruff, Carlos",,R,"264,427",18.49%,,,,,,,,,,
136,FL,Florida,S,S6FL00525 ,,Dwight Mark Anthony,Young,"Young, Dwight Mark Anthony",,R,"91,082",6.37%,,,,,,,,,,
137,FL,Florida,S,S6FL00418 ,,Ernie,Rivera,"Rivera, Ernie",,R,"45,153",3.16%,,,,,,,,,,
138,FL,Florida,S,n/a,,,,,Party Votes:,R,"1,430,492",,,,,,,,,,,
139,FL,Florida,S,S6FL00319 ,,Patrick,Murphy,"Murphy, Patrick",,D,"665,985",58.95%,,,"4,122,088",44.31%,,,,,,
