1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
591,WI,Wisconsin,S,S6WI00152,,Phillip N.,Anderson,"Anderson, Phillip N.",,LIB,"1,625",98.96%,,,"87,531",2.97%,,,,,,
592,WI,Wisconsin,S,n/a,,,Scattered,Scattered,,W(LIB),17,1.04%,,,,,,,,,,
593,WI,Wisconsin,S,n/a,,,,,Party Votes:,LIB,"1,642",,,,,,,,,,,
594,WI,Wisconsin,S,n/a,,,Scattered,Scattered,,W,,,,,"1,396",0.05%,,,,,,
595,WI,Wisconsin,S,n/a,,,Scattered,Scattered,,W(CON),51,100.00%,,,,,,,,,,
596,WI,Wisconsin,S,n/a,,,,,Party Votes:,CON,51,,,,,,,,,,,
597,WI,Wisconsin,S,n/a,,,Scattered,Scattered,,W(WG),114,100.00%,,,,,,,,,,
598,WI,Wisconsin,S,n/a,,,,,Party Votes:,WG,114,,,,,,,,,,,
599,WI,Wisconsin,S,S2WI00193,,John,Schiess,"Schiess, John",,W,,,,,8,0.00%,,,,,,
600,WI,Wisconsin,S,n/a,,,,,Total State Votes:,,"588,862",,,,"2,948,741",,,,,,,
601,WI,Wisconsin,S,n/a,,,,,,,,,,,,,,,,,,
