State,Year,PARTY,Power_House,Power_Senate,Power_Total
ME,2010,DEM,3.5437870325744902,3.153551963835066,17.261738075257025
ME,2012,DEM,2.8826709676117503,2.806960419752861,15.092948793536694
ME,2014,DEM,3.3764050065333437,3.0660574410531294,16.713754875114457
ME,2016,DEM,2.6860997026487627,3.0660574410531294,16.023449571229875
MI,2000,REP,3.9314589447571047,,
MI,2002,REP,4.908542401789066,,
MI,2004,REP,3.2390006775989417,0.5481725844638022,5.623551420016481
MI,2006,REP,4.111276353966642,0.5789190394748973,6.6295741756824444
MI,2008,REP,3.118055829828985,0.4635659205804958,5.134567584354142
MI,2010,REP,4.6949811590406085,0.4635659205804958,6.711492913565765
MI,2012,REP,3.060355455914268,0.4209844764079247,4.89163792828874
MI,2014,REP,4.531511320524477,0.514489768277667,6.769541812532329
MI,2016,REP,2.9972778294570324,0.514489768277667,5.235308321464884
MN,2000,DEM,3.3844698524117307,,
MN,2002,DEM,3.63365821265803,,
MN,2004,DEM,2.939359902942336,0.8557689201415698,6.6619547055581645
MN,2006,DEM,3.6714527112301476,0.8973819107100512,7.57506402281887
MN,2008,DEM,2.8544779980404007,0.7857900863936911,6.272664873852957
MN,2010,DEM,3.826669109357115,0.7857900863936911,7.2448559851696706
MN,2012,DEM,2.843551695592104,0.6979763745466862,5.879748924870189
MN,2014,DEM,4.07427609026355,0.8290610779659401,7.680691779415389
MN,2016,DEM,2.7967803464651495,0.8290610779659401,6.403196035616988
MO,2000,REP,3.8696562197414384,,
MO,2002,REP,4.855513408500277,,
MO,2004,REP,3.3745490758797354,0.8725961611877081,7.170342377046266
MO,2006,REP,4.29118657030251,0.8273247152296622,7.89004908155154
MO,2008,REP,3.189810752072314,0.8273247152296622,6.7886732633213445
MO,2010,REP,4.6858526299347885,0.982231915759862,8.958561463490188
MO,2012,REP,2.9896483426137,0.8565875436752574,6.7158041576010685
MO,2014,REP,5.608906382444684,0.8565875436752574,9.335062197432054
MO,2016,REP,2.9090073412436515,0.7235321973636657,6.056372399775597
MS,2000,REP,5.070279139147726,,
MS,2002,REP,5.902874109403869,,
MS,2004,REP,3.5835775392110576,2.4620854232848037,14.293649130499954
MS,2006,REP,6.65893120824642,3.2221269904689485,20.675183616786345
MS,2008,REP,3.162687873543088,1.6061038370222191,10.14923956458974
MS,2010,REP,5.072608043380944,1.6061038370222191,12.059159734427595
