1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,,
79,HI,Hawaii,S - Unexpired Term,S4HI00169,,Michael,Kokoski,"Kokoski, Michael",,LIB,568,100.00%,,,"8,941",2.53%,,,,,,,,
80,HI,Hawaii,S - Unexpired Term,n/a,,,,,Party Votes:,LIB,568,,,,,,,,,,,,,
81,HI,Hawaii,S - Unexpired Term,S4HI00151,,Joy,Allison,"Allison, Joy",,N,388,67.83%,,,,,,,,,,,,
82,HI,Hawaii,S - Unexpired Term,S0HI00118,,Arturo Pacheco,Reyes,"Reyes, Arturo Pacheco",,N,184,32.17%,,,,,,,,,,,,
83,HI,Hawaii,S - Unexpired Term,n/a,,,,,Party Votes:,N,572,,,,,,,,,,,,,
84,HI,Hawaii,S - Unexpired Term,n/a,,,,,Total State Votes (Unexpired Term):,,"270,899",,,,"353,774",,,,,,,,,
85,,,,n/a,,,,,,,,,,,,,,,,,,,,
86,ID,Idaho,S,S8ID00092 ,(I),Jim,Risch,"Risch, Jim",,R,"119,209",,,,"285,596",65.33%,,,,,W,,,
87,ID,Idaho,S,S4ID00083,,"Jeremy ""T""",Anderson,"Anderson, Jeremy ""T""",,R,"29,939",,,,,,,,,,,,,
88,ID,Idaho,S,n/a,,,,,Party Votes:,R,"149,148",,,,,,,,,,,,,
89,ID,Idaho,S,S4ID00075 ,,Nels,Mitchell,"Mitchell, Nels",,D,"16,908",,,,"151,574",34.67%,,,,,,,,
90,ID,Idaho,S,S0ID00099,,William ,Bryk,"Bryk, William ",,D,"7,378",,,,,,,,,,,,,
91,ID,Idaho,S,n/a,,,,,Party Votes:,D,"24,286",,,,,,,,,,,,,
92,ID,Idaho,S,n/a,,,,,Total State Votes:,,"173,434",,,,"437,170",,,,,,,,,
93,,,,n/a,,,,,,,,,,,,,,,,,,,,
94,IL,Illinois,S,S6IL00151,(I),Richard J.,Durbin,"Durbin, Richard J.",,D,"429,041",100.00%,,,"1,929,637",53.55%,,,,,W,,,
95,IL,Illinois,S,n/a,,,,,Party Votes:,D,"429,041",,,,,,,,,,,,,
96,IL,Illinois,S,S2IL00119,,"James D. ""Jim""",Oberweis,"Oberweis, James D. ""Jim""",,R,"423,097",56.08%,,,"1,538,522",42.69%,,,,,,,,
97,IL,Illinois,S,S4IL00438 ,,Douglas Lee,Truax,"Truax, Douglas Lee",,R,"331,237",43.91%,,,,,,,,,,,,
98,IL,Illinois,S,S4IL00487,,Sherry,Procarrone,"Procarrone, Sherry",,W(R),54,0.01%,,,,,,,,,,,,
99,IL,Illinois,S,n/a,,,,,Party Votes:,R,"754,388",,,,,,,,,,,,,
100,IL,Illinois,S,S4IL00479,,Sharon,Hansen,"Hansen, Sharon",,LIB,,,,,"135,316",3.76%,,,,,,,,
101,IL,Illinois,S,n/a,,,,,,,,,,,,,,,,,,,,
102,IL,Illinois,S,n/a,,Roger K.,Davis,"Davis, Roger K.",,W,,,,,31,0.00%,,,,,,,,
103,IL,Illinois,S,n/a,,Hilaire F.,Shioura,"Shioura, Hilaire F.",,W,,,,,12,0.00%,,,,,,,,
104,IL,Illinois,S,n/a,,Sherry,Procarione,"Procarione, Sherry",,W,,,,,1,0.00%,,,,,,,,
105,IL,Illinois,S,n/a,,,,,Total State Votes:,,"1,183,429",,,,"3,603,519",,,,,,,,,
106,,,,n/a,,,,,,,,,,,,,,,,,,,,
107,IA,Iowa,S,S4IA00129 ,,Joni,Ernst,"Ernst, Joni",,R,"88,535",56.12%,,,"588,575",52.10%,,,,,W,,,
108,IA,Iowa,S,S4IA00111 ,,Sam,Clovis,"Clovis, Sam",,R,"28,418",18.01%,,,,,,,,,,,,
109,IA,Iowa,S,S4IA00152,,Mark ,Jacobs,"Jacobs, Mark ",,R,"26,523",16.81%,,,,,,,,,,,,
110,IA,Iowa,S,S4IA00095 ,,Matt,Whitaker,"Whitaker, Matt",,R,"11,884",7.53%,,,,,,,,,,,,
111,IA,Iowa,S,S4IA00137 ,,Scott,Schaben,"Schaben, Scott",,R,"2,233",1.42%,,,,,,,,,,,,
112,IA,Iowa,S,n/a,,,Scattered,Scattered,,W(R),155,0.10%,,,,,,,,,,,,
113,IA,Iowa,S,n/a,,,,,Party Votes:,R,"157,748",,,,,,,,,,,,,
114,IA,Iowa,S,S4IA00087 ,,Bruce,Braley,"Braley, Bruce",,D,"62,600",99.14%,,,"494,370",43.76%,,,,,,,,
115,IA,Iowa,S,n/a,,,Scattered,Scattered,,W(D),545,0.86%,,,,,,,,,,,,
116,IA,Iowa,S,n/a,,,,,Party Votes:,D,"63,145",,,,,,,,,,,,,
117,IA,Iowa,S,S4IA00194 ,,Rick,Stewart,"Stewart, Rick",,IND,,,,,"26,815",2.37%,,,,,,,,
118,IA,Iowa,S,S4IA00186,,Douglas,Butzier,"Butzier, Douglas",,LIB,,,,,"8,232",0.73%,,,,,,,,
119,IA,Iowa,S,S4IA00202,,Bob,Quast,"Quast, Bob",,BQT,,,,,"5,873",0.52%,,,,,,,,
120,IA,Iowa,S,S4IA00210,,Ruth,Smith,"Smith, Ruth",,NNE,,,,,"4,724",0.42%,,,,,,,,
121,IA,Iowa,S,n/a,,,Scattered,Scattered,,W,,,,,"1,111",0.10%,,,,,,,,
122,IA,Iowa,S,n/a,,,,,Total State Votes:,,"220,893",,,,"1,129,700",,,,,,,,,
123,,,,n/a,,,,,,,,,,,,,,,,,,,,
124,KS,Kansas,S,S6KS00080,(I),Pat,Roberts,"Roberts, Pat",,RÊ,"127,089",48.08%,,,"460,350",53.15%,,,,,W,,,
125,KS,Kansas,S,S4KS00127,,Milton,Wolf,"Wolf, Milton",,RÊ,"107,799",40.78%,,,,,,,,,,,,
126,KS,Kansas,S,S4KS00150,,D.J.,Smith,"Smith, D.J.",,RÊ,"15,288",5.78%,,,,,,,,,,,,
127,KS,Kansas,S,S4KS00168,,Alvin E.,Zahnter,"Zahnter, Alvin E.",,RÊ,"14,164",5.36%,,,,,,,,,,,,
128,KS,Kansas,S,n/a,,,,,Party Votes:,R,"264,340",,,,,,,,,,,,,
129,KS,Kansas,S,S8KS00227,,Greg,Orman,"Orman, Greg",,IND,,,,,"368,372",42.53%,,,,,,,,
130,KS,Kansas,S,S4KS00143,,Randall,Batson,"Batson, Randall",,LIB,*,,,,"37,469",4.33%,,,,,,"*  The Libertarian Party nominated by convention on April 26, 2014.  Convention nominees are noted with an asterisk.",,
131,KS,Kansas,S,S4KS00135,,Chad,Taylor,"Taylor, Chad #",,D,"35,067",53.28%,,,#,,,,,,,# Chad Taylor withdrew after the primary election.,,
132,KS,Kansas,S,S0KS00166,,Patrick,Wiesner,"Wiesner, Patrick",,D,"30,752",46.72%,,,,,,,,,,,,
133,KS,Kansas,S,n/a,,,,,Party Votes:,D,"65,819",,,,,,,,,,,,,
134,KS,Kansas,S,n/a,,,,,Total State Votes:,,"330,159",,,,"866,191",,,,,,,,,
135,,,,n/a,,,,,,,,,,,,,,,,,,,,
136,KY,Kentucky,S,S2KY00012,(I),Mitch,McConnell,"McConnell, Mitch",,R,"213,753",61.44%,,,"806,787",56.19%,,,,,W,,,
137,KY,Kentucky,S,S4KY00109,,Matt,Bevin,"Bevin, Matt",,R,"125,787",36.16%,,,,,,,,,,,,
138,KY,Kentucky,S,S4KY00166,,Chris,Payne,"Payne, Chris",,R,"5,338",1.53%,,,,,,,,,,,,
139,KY,Kentucky,S,S4KY00125,,Brad,Copas,"Copas, Brad",,R,"3,024",0.87%,,,,,,,,,,,,
140,KY,Kentucky,S,n/a,,,,,Party Votes:,R,"347,902",,,,,,,,,,,,,
141,KY,Kentucky,S,S4KY00091,,Alison Lundergan ,Grimes,"Grimes, Alison Lundergan ",,D,"307,821",76.47%,,,"584,698",40.72%,,,,,,,,
142,KY,Kentucky,S,S4KY00141,,Gregory Brent,Leichty,"Leichty, Gregory Brent",,D,"32,602",8.10%,,,,,,,,,,,,
