STATE,Age,Total Population,Total Citizen Population,Total registered,"Percent registered (Total)","Margin of Error registered (Total)","Percent registered (Citizen)","Margin of Error registered (Citizen)",Total voted,"Percent voted (Total)","Margin of Error voted (Total)","Percent voted (Citizen)","Margin of Error voted (Citizen)",,,,,
NEW YORK,Total,"15,506","13,751","9,142",59.0,1.3,66.5,1.4,"7,869",50.7,1.3,57.2,1.4,,,,,
NEW YORK,18 to 24,"1,756","1,590",832,47.4,4.0,52.3,4.2,607,34.6,3.8,38.2,4.1,,,,,
NEW YORK,25 to 34,"2,952","2,503","1,510",51.1,3.1,60.3,3.3,"1,276",43.2,3.1,51.0,3.4,,,,,
NEW YORK,35 to 44,"2,528","2,092","1,363",53.9,3.3,65.1,3.5,"1,153",45.6,3.3,55.1,3.6,,,,,
NEW YORK,45 to 64,"5,070","4,531","3,234",63.8,2.3,71.4,2.3,"2,875",56.7,2.3,63.4,2.4,,,,,
NEW YORK,65+,"3,201","3,035","2,204",68.8,2.7,72.6,2.7,"1,957",61.1,2.9,64.5,2.9,,,,,
NORTH CAROLINA,Total,"7,631","6,960","5,194",68.1,1.8,74.6,1.7,"4,700",61.6,1.9,67.5,1.9,,,,,
NORTH CAROLINA,18 to 24,924,817,505,54.7,5.5,61.8,5.7,414,44.8,5.5,50.7,5.8,,,,,
NORTH CAROLINA,25 to 34,"1,319","1,111",784,59.5,4.5,70.6,4.6,666,50.5,4.6,60.0,4.9,,,,,
NORTH CAROLINA,35 to 44,"1,180","1,037",754,63.9,4.7,72.8,4.6,676,57.3,4.8,65.2,4.9,,,,,
NORTH CAROLINA,45 to 64,"2,712","2,520","1,979",73.0,2.8,78.5,2.7,"1,841",67.9,3.0,73.1,3.0,,,,,
NORTH CAROLINA,65+,"1,496","1,476","1,172",78.4,3.6,79.4,3.5,"1,102",73.7,3.8,74.7,3.8,,,,,
NORTH DAKOTA,Total,583,564,424,72.8,2.4,75.2,2.4,362,62.1,2.6,64.2,2.6,,,,,
NORTH DAKOTA,18 to 24,79,78,47,B,B,B,B,37,B,B,B,B,,,,,
NORTH DAKOTA,25 to 34,124,117,83,66.7,5.5,71.2,5.5,70,56.2,5.8,60.0,5.9,,,,,
NORTH DAKOTA,35 to 44,90,87,65,B,B,B,B,56,B,B,B,B,,,,,
NORTH DAKOTA,45 to 64,192,187,153,79.6,3.8,81.5,3.7,132,68.7,4.4,70.3,4.4,,,,,
NORTH DAKOTA,65+,97,96,76,B,B,B,B,67,B,B,B,B,,,,,
OHIO,Total,"8,811","8,499","6,128",69.5,1.6,72.1,1.6,"5,408",61.4,1.7,63.6,1.7,,,,,
OHIO,18 to 24,"1,075","1,060",576,53.6,5.0,54.3,5.0,425,39.6,4.9,40.1,5.0,,,,,
OHIO,25 to 34,"1,425","1,276",859,60.2,4.3,67.3,4.3,718,50.4,4.4,56.3,4.6,,,,,
OHIO,35 to 44,"1,325","1,270",884,66.7,4.3,69.6,4.3,792,59.8,4.4,62.3,4.5,,,,,
OHIO,45 to 64,"3,061","2,997","2,271",74.2,2.6,75.8,2.6,"2,072",67.7,2.8,69.1,2.8,,,,,
