State,District,Year,Cluster,Power_House,Power_Senate,Power_Total
TX,13.0,2008,Rural,4.311850258064238,0.32715185358515086,5.734960821159644
TX,13.0,2010,Rural,7.689764154933369,0.32715185358515086,9.112874718028774
TX,13.0,2012,Rural,4.845242940481036,0.253535280099756,5.948121408914974
TX,13.0,2014,Rural,7.607397433264106,0.3196629473882738,8.997931254403097
TX,13.0,2016,Rural,4.519937444065774,0.3196629473882738,5.910471265204765
TX,14.0,2000,Suburban,4.346711061075637,,
TX,14.0,2002,Suburban,6.616863738925025,,
TX,14.0,2004,Suburban,5.758113181472695,0.37069081198339604,7.370618213600468
TX,14.0,2006,Suburban,6.377184983004802,0.4530691185257131,8.348035648591653
TX,14.0,2008,Suburban,5.227582817980794,0.32715185358515086,6.6506933810762
TX,14.0,2010,Suburban,5.403828071806068,0.32715185358515086,6.826938634901474
TX,14.0,2012,Suburban,4.067702846171682,0.253535280099756,5.17058131460562
TX,14.0,2014,Suburban,6.863512196461173,0.3196629473882738,8.254046017600164
TX,14.0,2016,Suburban,3.8508192617979473,0.3196629473882738,5.241353082936938
TX,15.0,2000,Suburban,8.302337938363443,,
TX,15.0,2002,Suburban,15.080454223281205,,
TX,15.0,2004,Suburban,6.011132617607809,0.37069081198339604,7.623637649735582
TX,15.0,2006,Suburban,14.288367839741666,0.4530691185257131,16.259218505328516
TX,15.0,2008,Suburban,6.108436973147311,0.32715185358515086,7.5315475362427176
TX,15.0,2010,Suburban,10.407993338884262,0.32715185358515086,11.831103901979668
TX,15.0,2012,Suburban,6.818445258112245,0.253535280099756,7.921323726546183
TX,15.0,2014,Suburban,11.088441408675596,0.3196629473882738,12.478975229814587
TX,15.0,2016,Suburban,5.6344694301861065,0.3196629473882738,7.0250032513250975
TX,16.0,2000,Suburban,7.371913011426465,,
TX,16.0,2002,Suburban,13.815398643327853,,
TX,16.0,2004,Suburban,6.21994986720407,0.37069081198339604,7.832454899331843
TX,16.0,2006,Suburban,12.872000823808053,0.4530691185257131,14.842851489394905
TX,16.0,2008,Suburban,6.300284142814841,0.32715185358515086,7.7233947059102475
TX,16.0,2010,Suburban,11.779672996277624,0.32715185358515086,13.20278355937303
TX,16.0,2012,Suburban,6.4514047933937615,0.253535280099756,7.5542832618277
TX,16.0,2014,Suburban,13.678954927843513,0.3196629473882738,15.069488748982504
TX,16.0,2016,Suburban,5.706817935387408,0.3196629473882738,7.097351756526399
TX,17.0,2000,Rural,4.891649953529326,,
TX,17.0,2002,Rural,6.104857024248492,,
TX,17.0,2004,Rural,4.085835226436989,0.37069081198339604,5.698340258564762
TX,17.0,2006,Rural,6.284407129031448,0.4530691185257131,8.255257794618299
TX,17.0,2008,Rural,3.9366669028666808,0.32715185358515086,5.359777465962087
TX,17.0,2010,Rural,5.79233326768689,0.32715185358515086,7.215443830782296
TX,17.0,2012,Rural,5.578427106692997,0.253535280099756,6.6813055751269355
TX,17.0,2014,Rural,7.526436608587664,0.3196629473882738,8.916970429726655
TX,17.0,2016,Rural,4.069540304727178,0.3196629473882738,5.460074125866169
TX,18.0,2000,Suburban,5.801204330018912,,
TX,18.0,2002,Suburban,7.756387385011557,,
TX,18.0,2004,Suburban,6.5364603759772,0.37069081198339604,8.148965408104972
TX,18.0,2006,Suburban,11.621015444329526,0.4530691185257131,13.591866109916378
TX,18.0,2008,Suburban,5.202967772817615,0.32715185358515086,6.6260783359130215
TX,18.0,2010,Suburban,8.242596088063896,0.32715185358515086,9.665706651159303
TX,18.0,2012,Suburban,5.1299940492069025,0.253535280099756,6.232872517640841
TX,18.0,2014,Suburban,9.433072351664936,0.3196629473882738,10.823606172803927
TX,18.0,2016,Suburban,4.894570941911232,0.3196629473882738,6.2851047630502235
TX,19.0,2000,Rural,5.379294021452624,,
TX,19.0,2002,Rural,7.826195842724768,,
TX,19.0,2004,Rural,4.2823984857438955,0.37069081198339604,5.894903517871668
TX,19.0,2006,Rural,7.14250001785625,0.4530691185257131,9.113350683443102
TX,19.0,2008,Rural,4.2990228321102615,0.32715185358515086,5.722133395205668
TX,19.0,2010,Rural,7.333636456973555,0.32715185358515086,8.75674702006896
TX,19.0,2012,Rural,5.206624909534892,0.253535280099756,6.309503377968831
TX,19.0,2014,Rural,8.560324607509116,0.3196629473882738,9.950858428648107
TX,19.0,2016,Rural,4.9146086742843105,0.3196629473882738,6.3051424954233015
TX,20.0,2000,Suburban,8.158337004584986,,
TX,20.0,2002,Suburban,14.559219625828055,,
TX,20.0,2004,Suburban,5.820586249447044,0.37069081198339604,7.433091281574817
TX,20.0,2006,Suburban,12.780369352674292,0.4530691185257131,14.751220018261144
TX,20.0,2008,Suburban,5.647962497529017,0.32715185358515086,7.071073060624423
TX,20.0,2010,Suburban,10.847751803438737,0.32715185358515086,12.270862366534143
TX,20.0,2012,Suburban,5.371232751628827,0.253535280099756,6.474111220062765
TX,20.0,2014,Suburban,11.368287026510846,0.3196629473882738,12.758820847649837
TX,20.0,2016,Suburban,5.328530551129915,0.3196629473882738,6.719064372268906
TX,21.0,2000,Suburban,3.0222619817576266,,
TX,21.0,2002,Suburban,4.502618272525473,,
TX,21.0,2004,Suburban,2.931528293645326,0.37069081198339604,4.544033325773099
TX,21.0,2006,Suburban,4.907204758025733,0.4530691185257131,6.878055423612585
TX,21.0,2008,Suburban,3.285690816494168,0.32715185358515086,4.708801379589574
TX,21.0,2010,Suburban,4.227525417996576,0.32715185358515086,5.650635981091982
TX,21.0,2012,Suburban,3.237660466546873,0.253535280099756,4.3405389349808114
TX,21.0,2014,Suburban,5.291117272323223,0.3196629473882738,6.681651093462214
TX,21.0,2016,Suburban,2.808744182388612,0.3196629473882738,4.199278003527603
TX,22.0,2000,Suburban,3.9021801480487146,,
TX,22.0,2002,Suburban,6.285987277161751,,
TX,22.0,2004,Suburban,3.6681094563861785,0.37069081198339604,5.280614488513951
TX,22.0,2006,Suburban,6.74586309945426,0.4530691185257131,8.716713765041112
TX,22.0,2008,Suburban,3.23629832197932,0.32715185358515086,4.659408885074726
TX,22.0,2010,Suburban,4.802543426998938,0.32715185358515086,6.225653990094345
TX,22.0,2012,Suburban,3.9854769220958826,0.253535280099756,5.088355390529821
TX,22.0,2014,Suburban,6.597785783091195,0.3196629473882738,7.988319604230186
TX,22.0,2016,Suburban,3.272861757592221,0.3196629473882738,4.663395578731212
TX,23.0,2000,Rural,4.956531221190162,,
TX,23.0,2002,Rural,6.6422232849779475,,
TX,23.0,2004,Rural,4.056745759686494,0.37069081198339604,5.669250791814267
TX,23.0,2006,Rural,8.077609673745345,0.4530691185257131,10.048460339332197
TX,23.0,2008,Rural,4.1585228926685245,0.32715185358515086,5.581633455763931
TX,23.0,2010,Rural,6.599179062124672,0.32715185358515086,8.022289625220079
TX,23.0,2012,Rural,5.203752946625106,0.253535280099756,6.306631415059044
TX,23.0,2014,Rural,8.66333417078897,0.3196629473882738,10.05386799192796
TX,23.0,2016,Rural,4.367479745812679,0.3196629473882738,5.75801356695167
TX,24.0,2000,Suburban,5.989889067254475,,
TX,24.0,2002,Suburban,8.857866671390862,,
TX,24.0,2004,Suburban,4.142948287719473,0.37069081198339604,5.755453319847246
TX,24.0,2006,Suburban,7.135823259929498,0.4530691185257131,9.106673925516349
TX,24.0,2008,Suburban,3.6969260060259894,0.32715185358515086,5.120036569121396
TX,24.0,2010,Suburban,8.15082282556424,0.32715185358515086,9.573933388659647
TX,24.0,2012,Suburban,4.106961710795971,0.253535280099756,5.209840179229909
TX,24.0,2014,Suburban,6.940925780680627,0.3196629473882738,8.331459601819617
TX,24.0,2016,Suburban,3.627986286211838,0.3196629473882738,5.018520107350829
TX,25.0,2000,Rural,5.665016258596662,,
TX,25.0,2002,Rural,8.611335962661247,,
TX,25.0,2004,Rural,6.2415349182671,0.37069081198339604,7.854039950394873
TX,25.0,2006,Rural,6.11905228118269,0.4530691185257131,8.089902946769541
TX,25.0,2008,Rural,3.432934197517302,0.32715185358515086,4.856044760612708
TX,25.0,2010,Rural,5.284099615845958,0.32715185358515086,6.707210178941364
TX,25.0,2012,Rural,3.7888547049997725,0.253535280099756,4.891733173433711
TX,25.0,2014,Rural,5.621672672486972,0.3196629473882738,7.012206493625963
TX,25.0,2016,Rural,3.2237681981714785,0.3196629473882738,4.614302019310469
TX,26.0,2000,Suburban,3.386707849034111,,
TX,26.0,2002,Suburban,6.0724565515733735,,
TX,26.0,2004,Suburban,3.6424697401826336,0.37069081198339604,5.2549747723104065
TX,26.0,2006,Suburban,6.39047053034515,0.4530691185257131,8.361321195932002
TX,26.0,2008,Suburban,3.0828421338200114,0.32715185358515086,4.5059526969154176
TX,26.0,2010,Suburban,5.542284862357356,0.32715185358515086,6.965395425452762
TX,26.0,2012,Suburban,3.865137618224897,0.253535280099756,4.968016086658835
TX,26.0,2014,Suburban,7.068636460026861,0.3196629473882738,8.459170281165852
TX,26.0,2016,Suburban,3.134010279553717,0.3196629473882738,4.524544100692708
TX,27.0,2000,Rural,6.20840369524188,,
TX,27.0,2002,Rural,8.911941109893146,,
