STATE ABBREVIATION,D,INCUMBENT INDICATOR,CANDIDATE NAME,PARTY,PRIMARY RESULTS,RUNOFF RESULTS,GENERAL VOTES ,COMBINED PARTIES,,,,,,,,,,,,,,
MS,S,,"Richmond, Robert R. Jr.",D,"8,809",,,,,,,,,,,,,,,,,
MS,S,(I),"Lott, Trent",R,"107,127",,"654,941",,,,,,,,,,,,,,,
MS,S,,"Giles, Jim",I,,,"9,344",,,,,,,,,,,,,,,
MS,S,,"Napper, Lewis",LBT,,,"8,454",,,,,,,,,,,,,,,
MS,S,,"O’Hara, Shawn",REF,,,"7,315",,,,,,,,,,,,,,,
MT,S,,"Driscoll, John",D,"30,242",,,,,,,,,,,,,,,,,
MT,S,,"Schweitzer, Brian",D,"59,189",,"194,430",,,,,,,,,,,,,,,
MT,S,(I),"Burns, Conrad",R,"102,125",,"208,082",,,,,,,,,,,,,,,
MT,S,,"Rankin, Sam",REF,"1,110",,,,,,,,,,,,,,,,,
MT,S,,"Lee, Gary",REF,,,"9,089",,,,,,,,,,,,,,,
ND,S,(I),"Conrad, Kent",DNL,"36,585",,"176,470",,,,,,,,,,,,,,,
ND,S,,"Sand, Duane",R,"37,878",,"111,069",,,,,,,,,,,,,,,
NE,S,,"Hamburg, Al",D,"8,186",,,,,,,,,,,,,,,,,
NE,S,,"Nelson, Ben",D,"102,479",,"353,093",,,,,,,,,,,,,,,
NE,S,,Write-In,D,521,,,,,,,,,,,,,,,,,
NE,S,,"Hamburg, Al",N(D),296,,,,,,,,,,,,,,,,,
NE,S,,"Nelson, Ben",N(D),"3,182",,,,,,,,,,,,,,,,,
NE,S,,Write-In,N(D),37,,,,,,,,,,,,,,,,,
NE,S,,"DeCamp, John",R,"7,096",,,,,,,,,,,,,,,,,
NE,S,,"Grogan, George",R,"7,943",,,,,,,,,,,,,,,,,
NE,S,,"Hergert, David",R,"31,560",,,,,,,,,,,,,,,,,
NE,S,,"Moore, Scott",R,"39,493",,,,,,,,,,,,,,,,,
NE,S,,"Rustad, Elliott",R,"5,074",,,,,,,,,,,,,,,,,
NE,S,,"Stenberg, Don",R,"91,981",,"337,977",,,,,,,,,,,,,,,
NE,S,,Write-In,R,216,,,,,,,,,,,,,,,,,
NE,S,,"DeCamp, John",N(R),373,,,,,,,,,,,,,,,,,
NE,S,,"Grogan, George",N(R),350,,,,,,,,,,,,,,,,,
NE,S,,"Hergert, David",N(R),668,,,,,,,,,,,,,,,,,
NE,S,,"Moore, Scott",N(R),"1,627",,,,,,,,,,,,,,,,,
NE,S,,"Rustad, Elliott",N(R),243,,,,,,,,,,,,,,,,,
